Wind speed (m/s)            Rotor induction (-)     Rotor Aero Cp (-)         Rotor Aero Ct (-)
3.000000000000000000e+00 3.337420899940810037e-01 1.762979725305330592e-01 7.906781097791717450e-01
4.272046072021934648e+00 2.818758838597511529e-01 3.936228696142395900e-01 7.608591516405345256e-01
5.304031475548528718e+00 2.818871614648724155e-01 4.401354055541608634e-01 7.689523924683754341e-01
6.080106111341955000e+00 2.799808438021395562e-01 4.526520148382758846e-01 7.648770495729667607e-01
6.588350372834852919e+00 2.703003806963862887e-01 4.552823522474419571e-01 7.477199095019472219e-01
6.820958217466749574e+00 2.703003806963862332e-01 4.552823522474421236e-01 7.477199095019471109e-01
6.867559376486634726e+00 2.703003806963862332e-01 4.552823522474420126e-01 7.477199095019467778e-01
7.192653799388590841e+00 2.703003806963862332e-01 4.552823522474421236e-01 7.477199095019472219e-01
7.791248412775406251e+00 2.703003806963862332e-01 4.552823522474421236e-01 7.477199095019471109e-01
8.654149497440400296e+00 2.703003806963861222e-01 4.552823522474421236e-01 7.477199095019469999e-01
9.768103893234572510e+00 2.087987586563894715e-01 4.270701128158013726e-01 6.260872817536348167e-01
1.111600255223978095e+01 1.525904610462033018e-01 3.604598131383718318e-01 4.834529999729672567e-01
1.223800266555453042e+01 1.234959864234356636e-01 3.117518314244989153e-01 3.988727206615582666e-01
1.267714331390728333e+01 1.079690020482595297e-01 2.804634514965670955e-01 3.514900190816439007e-01
1.442754886624011945e+01 6.963288635026397555e-02 1.902667951976563521e-01 2.279679771865561755e-01
1.634033500950435425e+01 4.766069950037146730e-02 1.309657632180910025e-01 1.541163350243471009e-01
1.838612356636541278e+01 3.397324515570819548e-02 9.193159329852358674e-02 1.078248992650150950e-01
2.053349359662873752e+01 2.502207714618175441e-02 6.600178496285240282e-02 7.790555232958466803e-02
2.274946398644939904e+01 1.896062334185989393e-02 4.853200946825923096e-02 5.805314173481656431e-02
2.500000000000000000e+01 1.473986741065076538e-02 3.656963557026408213e-02 4.456291429500424534e-02
